0	-1	0	0.016031878955944184	1	0
1	0	1	0.09772463571981561	0.7768043966330773	0
2	0	2	0.02316241218865729	0.22319560336692268	0
3	2	3	0.008809578280465014	0.13869555139799783	0
4	2	4	0.34934042807314475	0.08450005196892485	1
5	1	5	0.030337945544639602	0.6620368304048067	0
6	1	6	0.023623879864386223	0.11476756622827067	1
7	3	7	0.12141036799026664	0.10891317348524532	1
8	3	8	0.037046700745813246	0.02978237791275251	0
9	5	9	0.07356634146037146	0.46526185080657806	0
10	5	10	0.018319208407392207	0.1967749795982286	1
11	9	11	0.0814799175297685	0.3330699437225516	1
12	9	12	0.005295239294334783	0.13219190708402645	1
13	8	13	0.11327256894437723	0.025586027973401926	1
14	8	14	0.0005788970006232608	0.004196349939350585	1
